e,edot,e_next,edot_next,dt
-2.487719923,-0.009909808,-2.487651929,-0.009863369,0.007999999999995566
-2.487651929,-0.009863369,-2.487575054,-0.009799796,0.007999999999995566
-2.487575054,-0.009799796,-2.487501621,-0.009836479,0.007999999999995566
-2.487501621,-0.009836479,-2.487432063,-0.00987892,0.007999999999995566
-2.487432063,-0.00987892,-2.487365931,-0.009843072,0.007999999999995566
-2.487365931,-0.009843072,-2.4872867465,-0.009752289,0.007999999999995566
-2.4872867465,-0.009752289,-2.48721239,-0.009675299,0.007999999999995566
-2.48721239,-0.009675299,-2.487140939,-0.009619511,0.007999999999995566
-2.487140939,-0.009619511,-2.4870725125,-0.009551489,0.007999999999995566
-2.4870725125,-0.009551489,-2.487006605,-0.0094662495,0.007999999999995566
-2.487006605,-0.0094662495,-2.486931652,-0.009445876,0.007999999999995566
-2.486931652,-0.009445876,-2.486859977,-0.009398529,0.007999999999995566
-2.486859977,-0.009398529,-2.486791253,-0.009364302,0.007999999999995566
-2.486791253,-0.009364302,-2.4867255090000002,-0.009320429,0.007999999999995566
-2.4867255090000002,-0.009320429,-2.486661121,-0.009317793,0.007999999999995566
-2.486661121,-0.009317793,-2.486599982,-0.009334034,0.007999999999995566
-2.486599982,-0.009334034,-2.486541823,-0.009275175,0.007999999999995566
-2.486541823,-0.009275175,-2.486485913,-0.00916839,0.007999999999995566
-2.486485913,-0.00916839,-2.4864115715,-0.009130846,0.007999999999995566
-2.4864115715,-0.009130846,-2.486340344,-0.009084024,0.007999999999995566
-2.486340344,-0.009084024,-2.486272126,-0.009045565,0.007999999999995566
-2.486272126,-0.009045565,-2.486206964,-0.008953537,0.007999999999995566
-2.486206964,-0.008953537,-2.486122534,-0.008902347,0.007999999999995566
-2.486122534,-0.008902347,-2.486041337,-0.008828963,0.007999999999995566
-2.486041337,-0.008828963,-2.485962912,-0.008734976,0.007999999999995566
-2.485962912,-0.008734976,-2.485887513,-0.008685951,0.007999999999995566
-2.485887513,-0.008685951,-2.485774159,-0.008620745,0.007999999999995566
-2.485774159,-0.008620745,-2.485664576,-0.008528869,0.007999999999995566
-2.485664576,-0.008528869,-2.485558525,-0.008445564,0.007999999999995566
-2.485558525,-0.008445564,-2.485461161,-0.008395352,0.007999999999995566
-2.485461161,-0.008395352,-2.485322565,-0.008304788,0.007999999999995566
-2.485322565,-0.008304788,-2.485188514,-0.008259722,0.007999999999995566
-2.485188514,-0.008259722,-2.485058725,-0.00816913,0.007999999999995566
-2.485058725,-0.00816913,-2.484933183,-0.008121965,0.007999999999995566
-2.484933183,-0.008121965,-2.484772444,-0.008066614,0.007999999999995566
-2.484772444,-0.008066614,-2.4846165925,-0.007973551,0.007999999999995566
-2.4846165925,-0.007973551,-2.484468818,-0.00791379,0.007999999999995566
-2.484468818,-0.00791379,-2.484325692,-0.007851299,0.007999999999995566
-2.484325692,-0.007851299,-2.48415345,-0.0077900584,0.007999999999995566
-2.48415345,-0.0077900584,-2.483986363,-0.0077160117,0.007999999999995566
-2.483986363,-0.0077160117,-2.483824506,-0.0076928283,0.007999999999995566
-2.483824506,-0.0076928283,-2.483667627,-0.0075996737,0.007999999999995566
-2.483667627,-0.0075996737,-2.483515456,-0.007531194,0.007999999999995566
-2.483515456,-0.007531194,-2.483353838,-0.007485922,0.007999999999995566
-2.483353838,-0.007485922,-2.483194396,-0.0074231247,0.007999999999995566
-2.483194396,-0.0074231247,-2.483039796,-0.007375094,0.007999999999995566
-2.483039796,-0.007375094,-2.48289007,-0.0073106666,0.007999999999995566
-2.48289007,-0.0073106666,-2.482739493,-0.0071845697,0.007999999999995566
